,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
β,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.9924056620343392,0.9889796553165991,0.05750132039597235,,,0.2562512735855531,0.7985549430937966,,,970.0,0.3658126311098794,0.5181623931623932
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,81311.78663920914,71604.02787586949,0.3903898683620682,,,1.6308469824706253,0.1095461932604935,,,931.0,0.4175064646625263,0.5541666666666667
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.02385730211817168,0.022336359292881032,0.13632269072201342,,,0.635671102650241,0.5273175984838683,,,914.5,0.5022641693982378,0.544345238095238
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.056354515050167225,0.05351170568561873,0.09259116427697377,,,0.4105748432638981,0.6829853297968391,,,909.0,0.538666743108879,0.5410714285714285
β,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.9934169048451217,0.9858338473741395,0.12744946493755574,,,0.48585230979249294,0.6297859591137309,,,843.0,0.9432062784300899,0.5017857142857143
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,79403.33310498054,76806.49974594568,0.10284438973797212,,,0.47395440252605797,0.6368630653257382,,,955.0,0.9699188345100658,0.4973958333333333
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.024735228539576364,0.021739130434782608,0.2704645105042118,,,1.2401090422799448,0.21879854526290818,,,1240.0,0.01776605304764043,0.6458333333333334
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.06020066889632108,0.04974916387959867,0.3451872501685102,,,1.6103332418587548,0.1111337298053202,,,1196.5,0.04754202759724996,0.6231770833333333
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.9917322377156651,0.9901303651707826,0.0268769406937527,,,0.12455378873025842,0.9011885914649991,,,944.0,0.6794859449218107,0.49166666666666664
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,76864.8397044842,81133.19987885153,-0.16935335682307476,,,-0.8838394317063467,0.3794011976841588,,,783.0,0.6127430195713939,0.4660714285714286
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.02329988851727982,0.02353081700907788,-0.02065662543166029,,,-0.07786550623448535,0.9383410556551347,,,929.0,0.42232288223729586,0.5529761904761905
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.05267558528428094,0.06139512661251791,-0.28629790751148043,,,-1.1649101339828027,0.250235663574339,,,704.0,0.22390976303915633,0.41904761904761906
β,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.9933837871551041,0.9859048138527486,0.12569393020792424,,,0.48073295313088776,0.633370839923184,,,842.0,0.9659053231498265,0.5011904761904762
Largest Eigenvalue,PARKINSONS,control_v_parkinsons,19111.138808176922,17922.281910576134,0.2405970747206774,,,1.7012782306863747,0.09049103802712706,,,5899.0,0.028135998274669,0.5899
Noise Ratio,PARKINSONS,control_v_parkinsons,0.01952702702702703,0.021013513513513517,-0.20084005746082007,,,-1.4201536656444171,0.15716066197425815,,,4423.5,0.14273681895090845,0.44235
Shifted Noise Ratio,PARKINSONS,control_v_parkinsons,0.03054054054054054,0.03128378378378378,-0.07532344351442427,,,-0.5326171769137128,0.5949012792289095,,,4752.0,0.533483882480437,0.4752
β,PARKINSONS,control_v_parkinsons,0.9999899849128616,0.9783175868175582,0.2427651525460348,,,1.7166088560108788,0.08917797390854268,,,5200.0,0.04442254392101925,0.52
Largest Eigenvalue,PARKINSONS,control_pre_v_park_pre,40186.27902413549,45994.02961406293,-0.5447227118775945,,,-4.324591934692987,2.429827840374992e-05,,,7004.0,0.000213539643757534,0.37058201058201057
Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.029639639639639642,0.029601029601029602,0.0038964900753757463,,,0.032139880346857636,0.9743849506185924,,,9584.0,0.8361436343772933,0.507089947089947
Shifted Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.03612612612612613,0.0345881595881596,0.12765212120303293,,,1.066779875265395,0.28701388246972714,,,10062.5,0.34533566021843654,0.5324074074074074
β,PARKINSONS,control_pre_v_park_pre,0.9999899849128616,0.9999899849128615,0.6472713840795977,,,5.082536525319484,9.435667042851565e-07,,,,,
Largest Eigenvalue,REFLECT_SUMMED,rest_v_task,18646.44940059667,21070.54751651335,-0.9870228874545812,,,-6.096770922627933,6.560612173511557e-08,,,796.0,4.783505945255175e-07,0.20707596253902186
Noise Ratio,REFLECT_SUMMED,rest_v_task,0.013348164627363733,0.01148960019927762,0.43093928322384395,,,1.832060305148385,0.07453637763856578,,,2268.0,0.11341597326602333,0.5900104058272633
Shifted Noise Ratio,REFLECT_SUMMED,rest_v_task,0.01747973939297632,0.02251214347988542,-0.8740025312879687,,,-4.67702771345164,2.186132235558014e-05,,,996.0,2.784662954561801e-05,0.259105098855359
β,REFLECT_SUMMED,rest_v_task,0.8551217723335588,0.21332212264365583,1.9636172451073002,,,10.497267704699315,2.551669096989491e-14,,,3402.0,7.17029021957453e-12,0.8850156087408949
Largest Eigenvalue,REFLECT_INTERLEAVED,rest_v_task,44356.93819868637,32473.537052642667,4.716593545342267,,,20.69942357532531,4.137790227753869e-23,,,3844.0,8.281906451123152e-18,1.0
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0016894567340689517,0.0022464698331193843,-0.4784771794066877,,,-2.8630947564158706,0.005737844630820928,,,1658.0,0.22277426519263177,0.43132154006243495
Shifted Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.011562219523784384,0.015218021450163566,-1.0910058940543652,,,-5.133429758590923,6.441789214469178e-06,,,786.0,3.4056360714276394e-07,0.204474505723205
β,REFLECT_INTERLEAVED,rest_v_task,0.021732256890990405,1.000005749061332e-05,0.40560587894193323,,,1.0000000000000002,0.32530861542602973,,,1984.0,0.04727022615560951,0.5161290322580645
