RMT Statistic,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
β,REFLECT_INTERLEAVED,rest_v_task,0.9999899849128616,0.929420886407272,0.3096654495645345,,,3.0917931826076077,0.002461750809386552,,,2061.5,0.12484404063009308,0.5362903225806451
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0016894567340689517,0.0022464698331193843,-0.4784771794066877,,,-2.86309475641587,0.005737844630820928,,,1658.0,0.22277426519263174,0.43132154006243495
β,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.9999899849128616,0.9999899849128612,0.662401321106836,,,2.7328774664924014,0.00881449572440829,,,,,
Largest Eigenvalue,OSTEO,allpain_v_nopain,13632.889303230007,15370.196162716373,-0.8013082672043829,,,-2.7695454300443343,0.00981538775559516,,,357.0,0.01690818690268463,0.31875
Largest Eigenvalue,OSTEO,nopain_v_pain,15370.196162716373,13589.411890250856,0.7716654545029991,,,2.658666047200456,0.011821911034411341,,,501.0,0.029103403094398482,0.677027027027027
Shifted Noise Ratio,LEARNING,rest_v_task,0.13155068728522334,0.15408881013745704,-0.3649958152563883,,,-2.471426787485877,0.016282622722255873,,,7202.0,0.013508421681949502,0.3907335069444444
Noise Ratio,OSTEO,duloxetine_v_nopain,0.014962908805913147,0.01137123745819398,0.7967191742767871,,,2.4835886942641605,0.01771525372183944,,,271.5,0.02028817728659622,0.7144736842105263
Largest Eigenvalue,OSTEO,duloxetine_v_nopain,13717.555844294673,15370.196162716373,-0.7569944030587923,,,-2.385181296510344,0.02281941099693634,,,118.0,0.04453961901813972,0.3105263157894737
Noise Ratio,OSTEO,allpain_v_nopain,0.014154579845102282,0.01137123745819398,0.5107444242152694,,,2.2285340475991613,0.031019652779320363,,,712.0,0.06918694024525633,0.6357142857142857
Shifted Noise Ratio,OSTEO,duloxetine_v_pain,0.016592541631794477,0.019434149868932483,-0.6042462372061463,,,-2.148296041138051,0.03834621150490652,,,260.5,0.10875718451966797,0.3705547652916074
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-1,high_v_low,82873.61946160227,71505.3268575993,0.4613064109316649,,,2.090997095775116,0.04012515695335207,,,1127.0,0.10593643021652333,0.6020299145299145
Largest Eigenvalue,PSYCH_VIGILANCE_SES-1,high_v_low,82837.03756108905,72686.05439861548,0.4099483296273692,,,1.8925853924721965,0.06210130167880053,,,1141.0,0.13038296238542696,0.5942708333333333
Noise Ratio,REFLECT_SUMMED,rest_v_task,0.013348164627363731,0.01148960019927762,0.430939283223844,,,1.8320603051483848,0.07453637763856577,,,2268.0,0.11341597326602333,0.5900104058272633
β,REFLECT_SUMMED,rest_v_task,0.9999899849128616,0.9757969207631348,0.17490523770150598,,,1.7463066102089706,0.08325424216172257,,,1968.5,0.3885053131867723,0.5120967741935484
Largest Eigenvalue,PARKINSONS,control_v_parkinsons,19111.13880817692,17922.281910576134,0.2405970747206774,,,1.7012782306863747,0.09049103802712706,,,5899.0,0.028135998274668998,0.5899
Noise Ratio,OSTEO,nopain_v_pain,0.01137123745819398,0.013739492000361562,-0.4146891198992715,,,-1.6594333530590748,0.10313615605327472,,,299.5,0.2320868291970465,0.4047297297297297
Shifted Noise Ratio,OSTEO,nopain_v_pain,0.01705685618729097,0.019434149868932483,-0.4782893465518712,,,-1.653212926917584,0.10730374598071638,,,287.0,0.1578230732132314,0.3878378378378378
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,81311.78663920914,71604.02787586949,0.3903898683620682,,,1.630846982470625,0.1095461932604935,,,931.0,0.4175064646625263,0.5541666666666667
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.06020066889632107,0.04974916387959867,0.3451872501685102,,,1.6103332418587548,0.1111337298053202,,,1196.5,0.047542027597249965,0.6231770833333333
Shifted Noise Ratio,OSTEO,allpain_v_duloxetine,0.018470032788474942,0.016592541631794477,0.39042401220634376,,,1.4991851007705181,0.14356776514455435,,,623.0,0.26049781156777674,0.5855263157894737
Noise Ratio,PARKINSONS,control_v_parkinsons,0.019527027027027032,0.021013513513513517,-0.20084005746082007,,,-1.4201536656444171,0.15716066197425815,,,4423.5,0.14273681895090845,0.44235
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.024735228539576364,0.021739130434782608,0.2704645105042118,,,1.2401090422799448,0.21879854526290815,,,1240.0,0.01776605304764043,0.6458333333333334
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.05944055944055945,0.051459410155062335,0.2619712223259047,,,1.2287539498176308,0.22257422470540775,,,1088.0,0.31771765914092875,0.5619834710743802
Noise Ratio,LEARNING,rest_v_task,0.06357388316151202,0.06888960481099655,-0.17234533290520307,,,-1.22621027965359,0.22471292870492884,,,8484.0,0.3685596828568537,0.4602864583333333
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.052675585284280936,0.06139512661251791,-0.28629790751148043,,,-1.1649101339828027,0.250235663574339,,,704.0,0.22390976303915636,0.4190476190476191
Shifted Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.03612612612612613,0.0345881595881596,0.12765212120303293,,,1.066779875265395,0.28701388246972714,,,10062.5,0.3453356602184365,0.5324074074074074
Shifted Noise Ratio,OSTEO,allpain_v_nopain,0.018470032788474942,0.01705685618729097,0.2824327428306744,,,1.0288740321749934,0.31160369042365593,,,637.5,0.353934213112745,0.5691964285714286
Shifted Noise Ratio,OSTEO,allpain_v_pain,0.018470032788474942,0.019434149868932483,-0.2008238956388273,,,-0.953424743077525,0.3432929790362313,,,945.0,0.4652434112641927,0.4560810810810811
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,76864.8397044842,81133.19987885152,-0.16935335682307476,,,-0.8838394317063467,0.3794011976841588,,,783.0,0.6127430195713939,0.4660714285714286
Noise Ratio,OSTEO,duloxetine_v_pain,0.014962908805913147,0.013739492000361562,0.21120092202280885,,,0.8253620288512284,0.4133192862403197,,,419.5,0.2352644651790904,0.596728307254623
Largest Eigenvalue,PSYCH_VIGILANCE_SES-2,high_v_low,80078.06382961919,76367.84478121932,0.14714775068360894,,,0.6901841288289682,0.4920249485006062,,,1023.0,0.6492388221799401,0.5284090909090909
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.02385730211817168,0.022336359292881032,0.13632269072201342,,,0.635671102650241,0.5273175984838683,,,914.5,0.5022641693982378,0.5443452380952379
Noise Ratio,OSTEO,allpain_v_duloxetine,0.014154579845102282,0.014962908805913147,-0.14671779168891014,,,-0.6162919337450986,0.5413280107614938,,,464.0,0.4023283913305559,0.43609022556390975
Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.02409546974764366,0.022651261781696564,0.1294553392881918,,,0.6071993635906241,0.5454350416383085,,,1139.0,0.14985772094264335,0.5883264462809917
Shifted Noise Ratio,PARKINSONS,control_v_parkinsons,0.030540540540540537,0.03128378378378378,-0.07532344351442427,,,-0.5326171769137128,0.5949012792289095,,,4752.0,0.533483882480437,0.4752
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,79403.33310498054,76806.49974594568,0.10284438973797212,,,0.473954402526058,0.6368630653257382,,,955.0,0.9699188345100658,0.4973958333333333
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.05428350913300747,0.05713489409141584,-0.09288117047721584,,,-0.4354119145579065,0.6644433511284198,,,861.0,0.5264299201840172,0.4599358974358974
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.056354515050167225,0.05351170568561873,0.09259116427697377,,,0.4105748432638981,0.6829853297968391,,,909.0,0.538666743108879,0.5410714285714285
Noise Ratio,OSTEO,allpain_v_pain,0.014154579845102282,0.013739492000361562,0.06937562429083058,,,0.3216228571585213,0.7486646832014041,,,1104.0,0.5904009536663545,0.5328185328185329
Largest Eigenvalue,LEARNING,rest_v_task,11573.059013461549,11358.587500918513,0.051951982910866834,,,0.3146756038974919,0.7541549025267085,,,9333.0,0.8864070566248693,0.50634765625
Shifted Noise Ratio,OSTEO,duloxetine_v_nopain,0.016592541631794477,0.01705685618729097,-0.09165432217808177,,,-0.28720543045311164,0.7755717572021885,,,184.5,0.8861601639892192,0.4855263157894737
Largest Eigenvalue,OSTEO,duloxetine_v_pain,13717.555844294673,13589.411890250856,0.06263522337881282,,,0.238519343005433,0.8125792245469303,,,342.0,0.8762329143858715,0.4864864864864865
Largest Eigenvalue,OSTEO,allpain_v_duloxetine,13632.889303230007,13717.555844294673,-0.043156775841343135,,,-0.1752174926342711,0.8618948300549557,,,541.5,0.9126858375341679,0.5089285714285714
Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.023475688191407256,0.02322556670382757,0.02237377040198209,,,0.1065937449873369,0.9153689837233192,,,933.0,0.9828685202521829,0.4983974358974359
Largest Eigenvalue,OSTEO,allpain_v_pain,13632.889303230007,13589.411890250856,0.02080202094400423,,,0.09672475307851597,0.9232092061847303,,,1026.5,0.9436734526614776,0.4954150579150579
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.023299888517279817,0.02353081700907788,-0.020656625431660292,,,-0.07786550623448535,0.9383410556551348,,,929.0,0.4223228822372959,0.5529761904761905
Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.02963963963963964,0.0296010296010296,0.0038964900753757454,,,0.032139880346857636,0.9743849506185924,,,9584.0,0.8361436343772933,0.507089947089947
β,PSYCH_VIGILANCE_SES-2,high_v_low,0.9999899849128614,0.9999899849128614,0.0,,,0.0,1.0,,,,,
β,PARKINSONS,control_v_parkinsons,0.9999899849128616,0.9999899849128616,0.0,,,0.0,1.0,,,,,
β,LEARNING,rest_v_task,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,OSTEO,allpain_v_nopain,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,OSTEO,allpain_v_duloxetine,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,OSTEO,duloxetine_v_nopain,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,PSYCH_VIGILANCE_SES-1,high_v_low,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.9999899849128616,0.9999899849128616,0.0,,,,,,,,,
