RMT Statistic,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,OSTEO,nopain_v_pain,17350.597886260606,16145.216040363039,0.3593984750986119,,,1.3113639559079031,0.1971212216758961,,,455.0,0.15767934087994107,0.6148648648648649
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.15261117825566928,0.08399655764194572,0.2635221687648985,,,1.2561328920845265,0.21247476514583571,,,1143.0,0.07851151271771699,0.5953125
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,107687.2219925094,116870.90461647182,-0.2347671356095592,,,-1.2561845571720056,0.21253513652416872,,,677.0,0.14545474812260428,0.4029761904761905
β,PARKINSONS,control_pre_v_park_pre,0.7905011848764606,0.7328749159943951,0.14284325148788465,,,1.1730191331387234,0.2418767823912006,,,10055.5,0.2651234300513714,0.5320370370370371
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.02302546951376383,0.02591973244147157,-0.2441939604894436,,,-1.1589654740453672,0.24982863316588755,,,747.0,0.1070692732456246,0.3990384615384616
β,LEARNING,rest_v_task,0.9478937451213748,0.9749414587063856,-0.22193271885695906,,,-1.1411054218339756,0.2589088208727376,,,8107.0,0.009607217887419264,0.4398328993055556
β,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.09931768196876004,0.16879064085086964,-0.26657701896563984,,,-1.1413941966874952,0.2591142834135517,,,647.0,0.04726400657657391,0.3851190476190477
Noise Ratio,OSTEO,nopain_v_pain,0.010869565217391302,0.01229322968453403,-0.3127968537605016,,,-1.1378774257984383,0.26191633859810226,,,308.5,0.2951176980854128,0.4168918918918919
Shifted Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.03612612612612613,0.0345881595881596,0.12765212120303293,,,1.066779875265395,0.28701388246972714,,,10062.5,0.3453356602184365,0.5324074074074074
β,REFLECT_INTERLEAVED,rest_v_task,0.03226741892379288,1.000005749061332e-05,0.4056058789419327,,,0.9999999999999992,0.3253086154260302,,,1984.0,0.04727022615560951,0.5161290322580645
Largest Eigenvalue,OSTEO,duloxetine_v_pain,17260.445521364938,16145.216040363039,0.3010879494532341,,,0.9930082278423864,0.3286015756121322,,,405.0,0.3590518368769672,0.5761024182076814
β,OSTEO,duloxetine_v_nopain,1.0000057490613316e-05,0.0029011903600260013,-0.3120391338480345,,,-1.0,0.32987680092112504,,,180.5,0.3558089413139776,0.475
β,OSTEO,nopain_v_pain,0.0029011903600260013,0.009411612580550085,-0.2112920347975868,,,-0.9686187922028378,0.33745596245275633,,,358.0,0.6641510962099813,0.4837837837837838
Largest Eigenvalue,OSTEO,allpain_v_nopain,16523.597471417255,17350.597886260606,-0.2297584839849079,,,-0.937664545306478,0.35436978280005904,,,475.0,0.31887839225673664,0.4241071428571429
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.010758082497212931,0.009794553272814142,0.1826153799793608,,,0.9313583464194992,0.3545619942811339,,,859.0,0.8649317365039845,0.5113095238095238
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-1,high_v_low,113943.04018851713,105793.9044169134,0.20816439428073666,,,0.9043299177651885,0.369497379073406,,,1018.0,0.4891432234760249,0.5438034188034188
β,PSYCH_VIGILANCE_SES-2,high_v_low,0.14509773145330898,0.09774769722737177,0.18102610337563207,,,0.8490876882124899,0.3983160286703405,,,1102.0,0.1999564547934997,0.5692148760330579
Noise Ratio,REFLECT_SUMMED,rest_v_task,0.010011123470522802,0.010929131896873834,-0.203492165966044,,,-0.8527374714946632,0.3990396953648541,,,1661.0,0.2332787730738701,0.43210197710717996
Noise Ratio,PARKINSONS,control_v_parkinsons,0.013648648648648651,0.014256756756756759,-0.09896564289329103,,,-0.6997927719433236,0.4848901160076291,,,4776.5,0.5631695303599126,0.47765
β,OSTEO,allpain_v_nopain,0.006221779760226334,0.0029011903600260013,0.12369656677546688,,,0.6689297439493578,0.5056958238704286,,,562.5,0.951386360527716,0.5022321428571429
Largest Eigenvalue,OSTEO,allpain_v_duloxetine,16523.597471417255,17260.445521364938,-0.1914878790298208,,,-0.674249133256184,0.5056988136861671,,,478.5,0.5184574883092592,0.449718045112782
Largest Eigenvalue,LEARNING,rest_v_task,13422.878841593985,12896.760614098057,0.09797676908265124,,,0.5562251419118671,0.5802930394727495,,,9450.0,0.7746352408568998,0.5126953125
Largest Eigenvalue,OSTEO,allpain_v_pain,16523.597471417255,16145.216040363039,0.10539604261557124,,,0.5064371810802747,0.6139128161131504,,,1089.5,0.6773579161550873,0.5258204633204633
Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.010717543326238978,0.010185466707205838,0.10060197512789197,,,0.4718650896092292,0.6382201079951079,,,1037.0,0.5573977266687002,0.5356404958677686
Noise Ratio,OSTEO,duloxetine_v_pain,0.012810039121896757,0.01229322968453403,0.12070720389662602,,,0.4643330213280224,0.6446275404828842,,,379.5,0.6240878161093368,0.5398293029871978
β,OSTEO,allpain_v_pain,0.006221779760226334,0.009411612580550085,-0.0966165347451074,,,-0.4377438180619345,0.6629929766017097,,,1007.5,0.6057581169814481,0.4862451737451737
Noise Ratio,PSYCH_VIGILANCE_SES-1,high_v_low,0.010660535117056858,0.010200668896321069,0.086919691764309,,,0.40519740643841795,0.6863813064981081,,,1033.5,0.5300995708529284,0.53828125
β,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.1132982819836586,0.13883221224751566,-0.09731545393940344,,,-0.3833133692669467,0.7034346472675247,,,892.5,0.5920153102067565,0.53125
Shifted Noise Ratio,OSTEO,nopain_v_pain,0.017725752508361205,0.01825906173732261,-0.10823036695781296,,,-0.3795300874268807,0.7065143127326085,,,332.0,0.5194700609407747,0.4486486486486487
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,109395.46953753344,113210.37416284886,-0.09703241312325032,,,-0.3549859900140901,0.7246592160649309,,,748.0,0.41237946802066094,0.4452380952380952
Noise Ratio,OSTEO,allpain_v_duloxetine,0.012468575743639243,0.012810039121896757,-0.08348189222153164,,,-0.34329776775834603,0.7333279333482068,,,504.0,0.728920752859745,0.4736842105263158
Shifted Noise Ratio,OSTEO,allpain_v_nopain,0.01811169547361589,0.017725752508361205,0.07447649740300871,,,0.2847270733682384,0.7776183481770441,,,604.5,0.5955948212723471,0.5397321428571429
Shifted Noise Ratio,OSTEO,duloxetine_v_pain,0.01782471906534491,0.01825906173732261,-0.08330269262948338,,,-0.273968893856612,0.7859880851890981,,,338.5,0.8252719001773619,0.4815078236130868
β,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.11514933554968132,0.13048426148240344,-0.0584080847850138,,,-0.263861936334066,0.7926645897172274,,,912.5,0.8223247820510966,0.4874465811965812
Largest Eigenvalue,PSYCH_VIGILANCE_SES-2,high_v_low,111639.28962627587,109579.31602853717,0.05235927878004192,,,0.24558678636289705,0.8065896131892691,,,886.0,0.4964136031672276,0.4576446280991736
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.024414715719063545,0.023769708552317248,0.05404091063023028,,,0.23783161980972836,0.8129156142590142,,,890.0,0.6550854749481139,0.5297619047619048
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,111459.20463647155,109589.42065652851,0.047522095062505036,,,0.21764709349695985,0.8282994917975786,,,962.0,0.9899708323953128,0.5010416666666667
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.010535117056856188,0.01027233635929288,0.04963443019370081,,,0.19236210350363736,0.848423417212622,,,952.5,0.3031073170134917,0.5669642857142857
Noise Ratio,OSTEO,allpain_v_pain,0.012468575743639243,0.01229322968453403,0.0399272226498855,,,0.18540613708836806,0.8534255510713713,,,1064.0,0.8244559583750553,0.5135135135135135
Shifted Noise Ratio,OSTEO,allpain_v_duloxetine,0.01811169547361589,0.01782471906534491,0.05325490841442808,,,0.18616776331783927,0.8536738951301648,,,545.0,0.8768175842328717,0.5122180451127819
Shifted Noise Ratio,OSTEO,allpain_v_pain,0.01811169547361589,0.01825906173732261,-0.029382471560367582,,,-0.14102071263153235,0.8882016763815856,,,1023.0,0.9200271390846472,0.4937258687258687
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.010381828316610926,0.010535117056856188,-0.028948580620458183,,,-0.13647685590342135,0.8917655182626876,,,935.0,0.8331072251502742,0.4869791666666667
Shifted Noise Ratio,PARKINSONS,control_v_parkinsons,0.025067567567567558,0.025202702702702702,-0.01413678179593273,,,-0.09996214272058576,0.9204756672352724,,,4978.0,0.9570596558750882,0.4978
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.024108138238573024,0.02433110367892977,-0.01867558240422573,,,-0.08634633140835096,0.9314091870776976,,,968.5,0.946157753127322,0.5044270833333333
Largest Eigenvalue,OSTEO,duloxetine_v_nopain,17260.445521364938,17350.597886260606,-0.023893950361932727,,,-0.0740803719350513,0.9413832808599234,,,190.0,0.9887910583324784,0.5
Shifted Noise Ratio,OSTEO,duloxetine_v_nopain,0.01782471906534491,0.017725752508361205,0.017628290380719034,,,0.05482325078946724,0.9565851273058892,,,196.5,0.8630108743536857,0.5171052631578947
Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.02963963963963964,0.0296010296010296,0.0038964900753757454,,,0.032139880346857636,0.9743849506185924,,,9584.0,0.8361436343772933,0.507089947089947
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.024171480693219824,0.024247491638795984,-0.006366427166345875,,,-0.029861190314796705,0.9762470240214319,,,943.5,0.8401053536841923,0.4873450413223141
