,DATASET,Comparison,μ₁,μ₂,d,t-test (paired),p (paired),t-test (Welch's),p (Welch's),Wilcoxon,p (Wilcoxon),Mann-Whitney U,p (Mann-Whitney),AUC
Largest Eigenvalue,PSYCH_VIGILANCE_SES-2,high_v_low,111639.28962627587,109579.31602853717,0.052359278780041915,,,0.24558678636289705,0.8065896131892691,,,886.0,0.4964136031672276,0.45764462809917356
Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.010717543326238978,0.010185466707205838,0.10060197512789198,,,0.4718650896092292,0.638220107995108,,,1037.0,0.5573977266687002,0.5356404958677686
Shifted Noise Ratio,PSYCH_VIGILANCE_SES-2,high_v_low,0.024171480693219824,0.024247491638795984,-0.006366427166345874,,,-0.029861190314796702,0.976247024021432,,,943.5,0.8401053536841923,0.48734504132231404
β,PSYCH_VIGILANCE_SES-2,high_v_low,0.734686174364814,0.7503109793765915,-0.04200249244627498,,,-0.19700915252187273,0.8442866311971524,,,912.0,0.6082076764845226,0.47107438016528924
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-1,high_v_low,113943.04018851713,105793.90441691341,0.20816439428073663,,,0.9043299177651883,0.36949737907340596,,,1018.0,0.4891432234760249,0.5438034188034188
Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.009711860046308207,0.011519881085098476,-0.34643928623047704,,,-1.5383641925345644,0.12882007771020193,,,787.0,0.19584483886258552,0.4204059829059829
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.02302546951376383,0.025919732441471572,-0.24419396048944356,,,-1.1589654740453672,0.24982863316588755,,,747.0,0.10706927324562461,0.39903846153846156
β,PSYCH_TASK_ATTENTION_SES-1,high_v_low,0.7217048609228767,0.772533944350896,-0.13692395899843854,,,-0.6316414583964092,0.529529698867678,,,847.0,0.4058049405916744,0.45245726495726496
Largest Eigenvalue,PSYCH_TASK_ATTENTION_SES-2,high_v_low,109395.46953753343,113210.37416284888,-0.09703241312325031,,,-0.3549859900140901,0.724659216064931,,,748.0,0.41237946802066094,0.4452380952380952
Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.010535117056856188,0.01027233635929288,0.04963443019370081,,,0.19236210350363736,0.848423417212622,,,952.5,0.3031073170134917,0.5669642857142857
Shifted Noise Ratio,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.024414715719063545,0.023769708552317248,0.054040910630230275,,,0.23783161980972833,0.8129156142590142,,,890.0,0.6550854749481139,0.5297619047619048
β,PSYCH_TASK_ATTENTION_SES-2,high_v_low,0.7267422355934611,0.7762621653219346,-0.13335152990581717,,,-0.5728980274678118,0.5692470334149415,,,771.5,0.5001523466652071,0.45922619047619045
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,111459.20463647154,109589.42065652851,0.047522095062505036,,,0.21764709349695985,0.8282994917975786,,,962.0,0.9899708323953129,0.5010416666666667
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.010381828316610926,0.010535117056856187,-0.028948580620458183,,,-0.13647685590342135,0.8917655182626876,,,935.0,0.8331072251502742,0.4869791666666667
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.024108138238573024,0.024331103678929766,-0.018675582404225732,,,-0.08634633140835096,0.9314091870776977,,,968.5,0.9461577531273221,0.5044270833333333
β,PSYCH_WEEKLY_ATTENTION_SES-1,high_v_low,0.8099305775208605,0.6615801760905131,0.40699598423663136,,,1.870588835652867,0.06523797611268643,,,1153.0,0.074188920804323,0.6005208333333333
Largest Eigenvalue,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,107687.2219925094,116870.90461647182,-0.23476713560955922,,,-1.2561845571720056,0.21253513652416872,,,677.0,0.14545474812260428,0.4029761904761905
Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.010758082497212933,0.009794553272814142,0.1826153799793608,,,0.9313583464194991,0.3545619942811339,,,859.0,0.8649317365039845,0.5113095238095238
Shifted Noise Ratio,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.022909698996655518,0.026994744386048732,-0.34668248868437546,,,-1.366748949700466,0.1790145665925854,,,680.5,0.15132068168129725,0.4050595238095238
β,PSYCH_WEEKLY_ATTENTION_SES-2,high_v_low,0.6882004517853024,0.8588517020537031,-0.469738393143276,,,-2.207065550542656,0.030927334116565477,,,614.0,0.025356213203190883,0.36547619047619045
Largest Eigenvalue,PARKINSONS,control_v_parkinsons,24794.125057167654,23492.953126646058,0.20665185521017962,,,1.461249281638986,0.14554175456685495,,,5596.0,0.14565871896767005,0.5596
Noise Ratio,PARKINSONS,control_v_parkinsons,0.013648648648648651,0.014256756756756759,-0.09896564289329104,,,-0.6997927719433236,0.4848901160076291,,,4776.5,0.5631695303599126,0.47765
Shifted Noise Ratio,PARKINSONS,control_v_parkinsons,0.02506756756756756,0.025202702702702702,-0.01413678179593273,,,-0.09996214272058575,0.9204756672352724,,,4978.0,0.9570596558750882,0.4978
β,PARKINSONS,control_v_parkinsons,0.9060273552156716,0.8663565596582288,0.13736107927649285,,,0.9712895062751105,0.3326165105305975,,,5339.5,0.2212474201508906,0.53395
Largest Eigenvalue,PARKINSONS,control_pre_v_park_pre,40186.27902413549,45994.02961406293,-0.5447227118775945,,,-4.324591934692987,2.429827840374992e-05,,,7004.0,0.000213539643757534,0.37058201058201057
Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.029639639639639642,0.029601029601029602,0.0038964900753757463,,,0.032139880346857636,0.9743849506185924,,,9584.0,0.8361436343772933,0.507089947089947
Shifted Noise Ratio,PARKINSONS,control_pre_v_park_pre,0.03612612612612613,0.0345881595881596,0.12765212120303293,,,1.066779875265395,0.28701388246972714,,,10062.5,0.34533566021843654,0.5324074074074074
β,PARKINSONS,control_pre_v_park_pre,0.926658119356801,0.9444355413097854,-0.07178615213471537,,,-0.6007135190807322,0.5485284449710455,,,9282.0,0.5531999278314688,0.4911111111111111
Largest Eigenvalue,REFLECT_SUMMED,rest_v_task,17181.507755305098,19655.040276660442,-0.8631793357604666,,,-5.455142371632502,7.331980614662799e-07,,,841.0,1.3415566041470694e-06,0.2187825182101977
Noise Ratio,REFLECT_SUMMED,rest_v_task,0.010011123470522802,0.010929131896873834,-0.20349216596604397,,,-0.8527374714946632,0.39903969536485406,,,1661.0,0.23327877307387013,0.43210197710718
Shifted Noise Ratio,REFLECT_SUMMED,rest_v_task,0.014619418401398375,0.01936729356084195,-0.8333799150654166,,,-4.666089171867414,2.037428271575093e-05,,,1025.0,4.8894304071075735e-05,0.2666493236212279
β,REFLECT_SUMMED,rest_v_task,0.7180996970149224,0.22254267815854603,1.4291101818409675,,,6.115117936387252,3.4215691600552977e-07,,,3027.5,3.368012402647144e-07,0.7875910509885536
Largest Eigenvalue,REFLECT_INTERLEAVED,rest_v_task,43467.53223523339,35933.250865903065,2.9958908911095334,,,13.625605938230589,5.750435100123722e-17,,,3772.0,1.300474820712967e-16,0.9812695109261186
Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.0034317089910775576,0.00258809888608224,0.5256548202605252,,,2.4952152470109343,0.016442303479567943,,,2662.0,0.0006925526076636755,0.6925078043704475
Shifted Noise Ratio,REFLECT_INTERLEAVED,rest_v_task,0.014201995670767121,0.01676052838626858,-0.6419676541412306,,,-2.6460239921551207,0.011754299606511488,,,1159.0,0.0006185289457219782,0.30150884495317376
β,REFLECT_INTERLEAVED,rest_v_task,0.22155435199871787,0.0021960526429190973,1.34590362035129,,,3.3465530599681235,0.0022092367676777042,,,2592.0,1.0268278885402595e-10,0.6742976066597295
